product_id,product_title,predicted_rating,actual_rating,discounted_price,original_price,total_reviews,is_best_seller,discount_percentage,user_id
45,"Epson Premium Presentation Paper MATTE (8x10 Inches, 50 Sheets) (S041467),Bright White",0.25867860278297794,4.5,12.5,14.29,457.0,No Badge,12.53,15
9,ASURION 3 Year Luggage Protection Plan ($200 - $249.99),0.25484388440613326,4.6,33.99,33.99,83.0,No Badge,0.0,15
11,ASURION 4 Year Housewares Protection Plan ($150 - $174.99),0.2336901301373333,4.5,34.99,34.99,3459.0,No Badge,0.0,15
60,"HP Elitebook 650 G10 15 15.6"" FHD Business Laptop Computer, 13th Gen Intel 10-Core i7-1355U, 64GB DDR4 RAM, 2TB PCIe SSD, WiFi 6E, BT5.3, Backlit Keyboard, Fingerprint Reader, Windows 11 Pro, AZ-XUT",0.19902052475505216,4.4,1229.0,1299.0,54.0,No Badge,5.39,15
117,"UGREEN 10Gbps USB to USB C Adapter 2Pack, USB C Female to USB 3.0 Male Adapter Type Charger Connector for iPhone 16 15 14 13,AirPods,iPad Air Mini 6 7,CarPlay,Black",0.17380427859148773,4.5,6.49,8.99,1647.0,No Badge,27.81,15
17,"Avery Customizable Name Tags, 2-1/3"" x 3-3/8"", White with Red Border, 100 Removable Name Badges (05143)",0.4176577877841232,4.8,7.29,7.29,5525.0,No Badge,0.0,17
78,"MUDDY Hunt Hard Compact Durable Aluminum Lightweight Ergonomic Portable Easy-to-Install Silent Outdoor Camera Arm | 24"" Reach with Over 5 Points of Adjustment",0.2813367786804021,4.3,64.24,64.24,381.0,No Badge,0.0,17
48,"Fujifilm Instax Mini 100 Film for Fuji 7S 8 25 50S 90 300 Instant Camera, Share SP-1 White, Pack of 5",0.22486035516639208,4.8,118.99,118.99,1895.0,No Badge,0.0,17
112,"TP-Link USB 3.0 WiFi Adapter for Desktop PC (Archer TX30U Plus)-AX1800 WiFi 6 Dual-Band Plug and Play Wireless Network Adapter with 2.4GHz, 5GHz, 2×High Gain Antenna, WPA3, Supports Windows 11/10",0.19878800462803634,4.7,32.99,32.99,7.0,No Badge,0.0,17
0,"A better mix of precision and comfort with scrolling designed for Web use. - LOGITECH, INC. M325 Wireless Mouse, Right/Left, Blue",0.166836018153394,4.6,13.99,13.99,906.0,No Badge,0.0,17
99,"SAMSUNG Odyssey G5 Series 27-Inch WQHD (2560x1440) Gaming Monitor, 144Hz, Curved, 1ms, HDMI, Display Port, FreeSync Premium (LC27G55TQWNXZA)",0.13674678145492697,4.4,219.0,219.0,2319.0,No Badge,0.0,17
30,"Canon CLI-251XL Genuine Yellow Ink Tank, Compatible with MG6320, IP7220 & MG5420, MX922, MG5520, MG6420, MG7120, iX6820, iP8720, MG7520, MG6620, and MG5620 Printers",0.10736090632227459,4.8,21.99,23.99,944.0,No Badge,8.34,17
